집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20100301,132,1,1,0,0,3215,214,94,103,281,132,4039
20100301,132,1,2,0,0,1662,23,169,0,0,20,1874
20100301,133,0,1,0,0,1513,69,23,32,233,52,1922
20100301,133,0,2,0,0,815,13,77,0,0,14,919
20100301,133,1,1,0,0,1628,71,36,35,185,75,2030
20100301,133,1,2,0,0,815,15,62,0,0,17,909
20100301,134,0,1,0,0,1094,48,26,36,27,36,1267
20100301,134,0,2,0,0,644,9,17,0,0,16,686
20100301,134,1,1,0,0,1200,62,31,33,13,54,1393
20100301,134,1,2,0,0,679,12,9,0,0,15,715
20100301,135,0,1,0,0,13774,389,191,163,704,400,15621
20100301,135,0,2,0,0,6972,67,666,0,0,120,7825
20100301,135,1,1,0,0,10700,362,188,144,616,530,12540
20100301,135,1,2,0,0,4727,70,680,0,0,99,5576
20100301,137,0,1,0,0,2012,77,69,84,79,117,2438
20100301,137,0,2,0,0,1989,104,102,0,0,68,2263
20100301,137,1,1,0,0,2206,94,44,76,76,165,2661
20100301,137,1,2,0,0,2028,94,93,0,0,70,2285
20100301,138,0,1,0,0,4179,457,184,245,281,249,5595
20100301,138,0,2,0,0,3782,322,171,0,0,150,4425
20100301,138,1,1,0,0,4071,440,173,239,251,320,5494
20100301,138,1,2,0,0,3665,262,164,0,0,158,4249
20100301,139,0,1,0,0,3861,169,59,59,148,154,4450
20100301,139,0,2,0,0,2553,84,199,0,0,65,2901
20100301,139,1,1,0,0,4228,171,75,44,88,232,4838
20100301,139,1,2,0,0,2476,86,173,0,0,55,2790
20100301,140,0,1,0,0,13253,426,167,197,364,620,15027
20100301,140,0,2,0,0,9976,287,244,0,0,346,10853
20100301,140,1,1,0,0,12984,417,139,161,309,858,14868
20100301,140,1,2,0,0,9440,254,282,0,0,312,10288
20100301,142,0,1,0,0,2162,84,26,42,95,109,2518
20100301,142,0,2,0,0,1351,24,61,0,1,54,1491
20100301,142,1,1,0,0,2343,86,34,38,89,167,2757
20100301,142,1,2,0,0,1519,26,60,0,0,54,1659
20100301,143,0,1,0,0,363,27,7,12,80,30,519
20100301,143,0,2,0,0,366,5,28,0,0,19,418
20100301,143,1,1,0,0,542,34,10,11,73,48,718
20100301,143,1,2,0,0,530,5,6,0,0,20,561
20100301,144,0,1,0,0,2665,105,41,34,71,162,3078
20100301,144,0,2,0,0,1912,37,273,0,0,59,2281
20100301,144,1,1,0,0,2100,80,31,22,66,175,2474
20100301,144,1,2,0,0,1314,17,57,0,0,49,1437
20100301,145,0,1,0,0,5736,130,59,77,112,296,6410
20100301,145,0,2,0,0,3318,44,309,0,0,115,3786
20100301,145,1,1,0,0,5594,114,47,64,129,457,6405
20100301,145,1,2,0,0,3080,52,304,0,0,96,3532
20100301,146,0,1,0,0,4792,239,104,97,177,298,5707
20100301,146,0,2,0,0,3231,65,34,0,0,115,3445
20100301,146,1,1,0,0,4884,201,104,106,176,437,5908
20100301,146,1,2,0,0,3034,59,36,0,0,107,3236
20100301,147,0,1,0,0,2171,193,79,77,47,142,2709
20100301,147,0,2,0,0,1815,51,20,0,0,77,1963
20100301,147,1,1,0,0,2654,222,96,85,55,225,3337
20100301,147,1,2,0,0,2096,54,18,0,0,95,2263
20100301,148,0,1,0,0,5169,156,71,65,185,300,5946
20100301,148,0,2,0,0,3827,61,95,0,0,152,4135
20100301,148,1,1,0,0,5786,171,86,70,95,474,6682
20100301,148,1,2,0,0,4444,62,93,0,0,178,4777
20100301,149,0,1,0,0,8542,304,95,52,247,648,9888
20100301,149,0,2,0,0,7058,115,97,0,0,325,7595
20100301,149,1,1,0,0,9035,281,89,55,148,910,10518
20100301,149,1,2,0,0,6695,108,121,0,0,317,7241
20100301,150,0,1,0,0,24340,621,245,274,771,1324,27575
20100301,150,0,2,0,0,16992,248,557,0,0,688,18485
20100301,150,1,1,0,0,23169,554,251,228,836,1744,26782
20100301,150,1,2,0,0,15276,227,594,0,0,588,16685
20100301,151,0,1,0,0,4894,138,65,106,115,200,5518
20100301,151,0,2,0,0,2999,33,232,0,0,92,3356
20100301,151,1,1,0,0,6460,140,69,104,118,362,7253
20100301,151,1,2,0,0,3642,36,222,0,0,124,4024
20100301,152,0,1,0,0,10811,197,108,43,139,316,11614
20100301,152,0,2,0,0,5426,71,369,0,0,108,5974
20100301,152,1,1,0,0,11498,227,91,96,129,544,12585
20100301,152,1,2,0,0,5590,69,358,0,0,135,6152
20100301,153,0,1,0,0,5741,185,67,48,82,224,6347
20100301,153,0,2,0,0,2933,39,75,0,0,64,3111
20100301,153,1,1,0,0,5671,157,58,79,63,348,6376
20100301,153,1,2,0,0,2726,36,71,0,0,69,2902
20100301,154,0,1,0,0,3386,118,30,37,115,156,3842
20100301,154,0,2,0,0,1731,23,25,0,0,42,1821
20100301,154,1,1,0,0,3508,117,47,25,122,202,4021
20100301,154,1,2,0,0,1657,22,31,0,0,41,1751
20100301,155,0,1,0,0,2404,164,80,94,102,72,2916
20100301,155,0,2,0,0,1248,27,118,0,0,24,1417
